who,last_active,TPq10,TPmed,TPq90
DAVID_BOOTH,20132014,258,761,1557
CORY_CONACHER,20132014,140,761,1746
BEAU_BENNETT,20132014,96,764,1838
JONI_PITKANEN,20122013,327,765,1437.1
JASON_GARRISON,20132014,234,765,1595
JAKOB_SILFVERBERG,20132014,122,765,1806
ALEKSEY_MOROZOV,20032004,131,766.5,1761
VILLE_PELTONEN,20082009,191,768,1654.1
MARTIN_ST. LOUIS,20132014,301,769,1520
RYAN_JONES,20132014,196,769,1662.1
DANNY_DEKEYSER,20132014,121,771,1812.1
MARK_CULLEN,20112012,90,771.5,1874
LUBOS_BARTECKO,20022003,80.9000000000001,772,1889.1
JOHN-MICHAEL_LILES,20132014,329,774,1451
MARK_MOWERS,20072008,138,774,1763
SPENCER_MACHACEK,20112012,70,774,1885
VILLE_LEINO,20132014,225.9,775,1617
JOE_CALLAHAN,20102011,99,775,1844
TY_WISHART,20102011,89,780,1887
COLBY_ARMSTRONG,20122013,279,783,1532
MIKKEL_BOEDKER,20132014,227,783.5,1632
CHAD_JOHNSON,20132014,122,783.5,1791
JAKUB_KINDL,20132014,179,785.5,1721
MARKUS_NASLUND,20082009,281,786,1556.1
BOBBY_HOLIK,20082009,247,788,1605
CORY_SCHNEIDER,20132014,247,789,1592
SAKU_KOIVU,20132014,338,790,1466
ALLAN_ROURKE,20072008,101,791,1854
JAMES_VAN RIEMSDYK,20132014,260.9,797,1615.1
ANTON_KHUDOBIN,20132014,173,797,1750
JOHN_TAVARES,20132014,226.9,799,1671
JAROSLAV_BALASTIK,20062007,111.9,800,1848.1
TUUKKA_RASK,20132014,273.9,801,1588.1
DALTON_PROUT,20132014,118,801,1839
TYSON_BARRIE,20132014,174.9,804,1759.1
TIM_CONNOLLY,20112012,313,805,1552
TYLER_ARNASON,20082009,288,806,1603.2
TOREY_KRUG,20132014,130.9,807,1821
ALYN_MCCAULEY,20062007,154,808,1795.1
JUSTIN_FONTAINE,20132014,107,810,1897
RICHARD_PETIOT,20102011,80,811,1946.1
ROBERT_NILSSON,20092010,226,813,1680
WES_WALZ,20072008,223,815,1690.1
RYAN_MILLER,20132014,390,822,1455
DANIEL_BRIERE,20132014,382,824,1459
JEREMY_MORIN,20132014,105,824,1898.1
ZEMGUS_GIRGENSONS,20132014,98,825,1898
GRANT_CLITSOME,20132014,225,826,1694
STAN_NECKAR,20032004,97,827,1935
MARK_LETESTU,20132014,219,828,1706
DION_PHANEUF,20132014,379,830,1461
MIKE_WEAVER,20132014,315,830,1571
JACOB_JOSEFSON,20132014,134,830,1845
COLIN_STUART,20112012,109,831,1882
DEREK_ARMSTRONG,20092010,220,833.5,1711
JUSTIN_ABDELKADER,20132014,251,837.5,1673
DAN_CARCILLO,20132014,245,839,1677
ADAM_OATES,20032004,162,840.5,1827.2
RENE_BOURQUE,20132014,340.9,841,1562
RICHARD_ZEDNIK,20082009,291,843,1610
LUC_ROBITAILLE,20052006,155,844,1814
DREW_DOUGHTY,20132014,316,849,1602
MARK_FAYNE,20132014,244,850,1697
MICHAEL_GARNETT,20052006,143,850,1875
PAUL_HEALEY,20022003,112.9,850,1950
PETR_MRAZEK,20132014,95,851,1950
JAROSLAV_HLINKA,20072008,138,851.5,1875
JAMES_REIMER,20132014,282,852,1656
ANTON_VOLCHENKOV,20132014,357,854,1543.1
KYLE_PALMIERI,20132014,167,857,1841
JAMES_NEAL,20132014,326,860,1613
NIKITA_FILATOV,20112012,102,860,1959
NIKITA_NIKITIN,20132014,248,861,1739.1
PIERRE_DAGENAIS,20052006,143,861,1893
ANDREW_MACDONALD,20132014,279,864.5,1697.1
RONALD_PETROVICKY,20062007,210,864.5,1782
BRIAN_POTHIER,20092010,297,865,1663.1
MATT_HALISCHUK,20132014,207,865,1788
JIM_SLATER,20132014,277.9,868,1681
RANDY_ROBITAILLE,20072008,280,868,1691
JONATHAN_QUICK,20132014,329.9,869,1609.1
LOUIS_LEBLANC,20132014,113,872,1927.1
MARK_BELL,20072008,270,873,1715
JASON_ZUCKER,20132014,128,874,1946
QUINTIN_LAING,20092010,134.9,876,1914
MARK_FISTRIC,20132014,271,878,1722
BRENT_SEABROOK,20132014,393,879,1543
BEN_BISHOP,20132014,262,880.5,1720
CAM_TALBOT,20132014,133,881,1915.1
COLIN_GREENING,20132014,253,882,1765
MATT_READ,20132014,232,883.5,1763
TOMMY_SALO,20032004,247,884,1773
JOE_NIEUWENDYK,20062007,230,884,1774.2
KEVAN_MILLER,20132014,132.9,884,1931
WILLIE_MITCHELL,20132014,409,885,1536.1
JOHN_MITCHELL,20132014,273.9,885,1723
CARLO_COLAIACOVO,20132014,317,886,1662
DWIGHT_KING,20132014,229.9,886,1798
JEFF_WOYWITKA,20112012,268,887,1746
JEFF_TOMS,20022003,99,887,1998
PAVEL_KUBINA,20112012,389,887.5,1564
TOMAS_KABERLE,20122013,422,888,1539
MARTIN_GERBER,20102011,365,888,1585
RYAN_CALLAHAN,20132014,350,888,1648.1
JEAN-GABRIEL_PAGEAU,20132014,114,888,1957.1
BRADEN_HOLTBY,20132014,266,891,1732.1
JASON_CHIMERA,20132014,371,892,1590
JEFF_ZATKOFF,20132014,151,892,1919
JAN_HLAVAC,20072008,243,894,1776.1
ZACK_STORTINI,20102011,214,894,1830
MARC-ANDRE_BERGERON,20122013,369,895,1614
JIRI_SLEGR,20052006,196,895,1849
SAMI_HELENIUS,20022003,105,901,2009
SAMI_SALO,20132014,408.9,904,1559.1
KENNY_JONSSON,20032004,227,904,1802.1
NIKLAS_HAGMAN,20112012,388,905,1594
KEITH_AUCOIN,20132014,211.9,909,1845
KAMIL_KREPS,20092010,236,910,1805
LUC_BOURDON,20072008,126,912,1973.1
BRANDON_BOCHENSKI,20092010,215,913,1858
