player,season,beta,ppm,pm,salary
JAROMIR_JAGR,20112012,0.2,15.01,41,3.3
DOMINIK_HASEK,20062007,0.09,15,69,0.75
MILAN_HEJDUK,20072008,0.19,14.94,21,4
ERIC_FEHR,20092010,0.34,14.94,32,0
MIKE_RIBEIRO,20072008,0.16,14.88,79,2.8
DAYMOND_LANGKOW,20072008,0.17,14.86,62,2.442
ALEXANDER_SEMIN,20132014,0.34,14.84,-1,7
ILYA_KOVALCHUK,20082009,0.14,14.83,42,7.5
MIKE_RIBEIRO,20102011,0.16,14.8,20,5
ZACH_PARISE,20132014,0.26,14.75,21,12
KIMMO_TIMONEN,20112012,0.15,14.72,10,5
MATT_CARLE,20092010,0.13,14.62,49,3.5
SEAN_BURKE,20032004,0.13,14.6,-5,4.5
SHANE_DOAN,20072008,0.16,14.58,26,4.55
JAROMIR_JAGR,20022003,0.2,14.51,32,11.483333
JAROME_IGINLA,20082009,0.14,14.51,44,7
ZDENO_CHARA,20102011,0.11,14.51,46,7.5
BRAYDON_COBURN,20072008,0.16,14.49,33,0.9424
JASON_ARNOTT,20052006,0.2,14.47,48,2.926
DAVID_PERRON,20092010,0.24,14.41,9,0.875
MIKE_RIBEIRO,20082009,0.16,14.39,23,5
MARC_SAVARD,20062007,0.15,14.36,38,5
BRAD_MARCHAND,20122013,0.3,14.34,39,3
MIIKKA_KIPRUSOFF,20032004,0.13,14.33,30,0.88
MARTIN_HAVLAT,20022003,0.25,14.32,54,0.96
STEVE_DOWNIE,20112012,0.23,14.32,1,1.9
DEREK_STEPAN,20122013,0.24,14.32,28,0.875
JAMES_REIMER,20102011,0.15,14.31,14,0.555
DAVID_PERRON,20112012,0.24,14.18,39,2.5
JAKUB_VORACEK,20092010,0.21,14.1,13,0.875
CHRIS_PRONGER,20102011,0.22,14.1,13,7.6
JAKUB_VORACEK,20102011,0.21,14.1,15,0.7875
MARTIN_ST. LOUIS,20082009,0.14,14.09,23,5
FRANS_NIELSEN,20082009,0.28,14.09,10,0.5
JASON_ARNOTT,20082009,0.2,14.07,30,4.5
RICK_NASH,20032004,0.2,14.04,-1,1.185
JUSTIN_WILLIAMS,20062007,0.16,14.04,0,3.5
MAREK_MALIK,20062007,0.22,14.04,20,2.5
RADIM_VRBATA,20102011,0.22,14,37,3
PAVEL_DATSYUK,20022003,0.36,13.98,28,0.625
PATRIK_ELIAS,20082009,0.18,13.93,50,6
TOBIAS_ENSTROM,20092010,0.17,13.9,26,3
PATRIC_HORNQVIST,20102011,0.23,13.86,34,3.083
ALEX_BURROWS,20082009,0.19,13.84,-1,0.525
PATRIK_ELIAS,20102011,0.18,13.84,3,5
MAREK_MALIK,20032004,0.22,13.82,24,1.65
LUBOMIR_VISNOVSKY,20052006,0.31,13.81,29,1.52
LUBOMIR_VISNOVSKY,20122013,0.31,13.81,25,3
BRENDAN_MORRISON,20052006,0.17,13.8,23,3.2
TEEMU_SELANNE,20092010,0.29,13.73,37,2
TEDDY_PURCELL,20112012,0.18,13.73,33,2.35
NIK_ANTROPOV,20092010,0.18,13.69,43,3.5
MARC_SAVARD,20052006,0.15,13.68,65,2.28
JOHAN_FRANZEN,20112012,0.22,13.64,45,5.25
JEFF_CARTER,20082009,0.13,13.63,29,4.5
RYAN_GETZLAF,20122013,0.25,13.6,33,6.125
ILYA_KOVALCHUK,20072008,0.14,13.57,30,5.5
JASON_ARNOTT,20062007,0.2,13.56,51,4.5
BRIAN_RAFALSKI,20102011,0.16,13.54,48,6
FRANS_NIELSEN,20132014,0.28,13.54,8,2.5
DANIEL_ALFREDSSON,20102011,0.24,13.53,-11,7
TRAVIS_HAMONIC,20112012,0.18,13.53,-4,0.875
ANZE_KOPITAR,20122013,0.23,13.52,29,6.5
PATRIC_HORNQVIST,20112012,0.23,13.51,37,3
