player,season,beta,prob,ppm,pm,fp,beta.po,prob.po,ppm.po,pm.po,fp.po
SCOTTIE_UPSHALL,20082009,0.28,0.57,201.03,129,0.54,0,0.5,0,0,0
SCOTT_GOMEZ,20082009,0.17,0.54,200.88,462,0.59,0.17,0.54,17.47,32,0.58
CHRIS_KUNITZ,20082009,0.2,0.55,200.57,360,0.59,0.2,0.55,59.16,89,0.58
MARIAN_HOSSA,20092010,0.28,0.57,200.01,412,0.64,0.28,0.57,80.62,102,0.59
NATHAN_HORTON,20072008,0.17,0.54,199.95,201,0.54,0,0.5,0,0,0
TOMAS_HOLMSTROM,20052006,0.25,0.56,199.78,678,0.71,0.25,0.56,16.54,72,0.77
JONATHAN_TOEWS,20112012,0.23,0.56,199.24,286,0.58,0.23,0.56,21.86,52,0.64
CAL_CLUTTERBUCK,20102011,0.24,0.56,198.8,-32,0.49,0,0.5,0,0,0
ALEX_FROLOV,20082009,0.18,0.55,198.67,179,0.54,0,0.5,0,0,0
ANZE_KOPITAR,20132014,0.18,0.54,198.59,483,0.61,0.18,0.54,52.68,42,0.54
SHANE_DOAN,20062007,0.2,0.55,198.05,199,0.55,0,0.5,0,0,0
P.A._PARENTEAU,20112012,0.19,0.55,197.9,299,0.57,0,0.5,0,0,0
PATRICE_BERGERON,20102011,0.19,0.55,197.87,156,0.54,0.19,0.55,57.96,17,0.51
ANZE_KOPITAR,20112012,0.16,0.54,197.86,376,0.57,0.16,0.54,50.76,120,0.59
PAVEL_DATSYUK,20122013,0.31,0.58,197.61,281,0.61,0.33,0.58,67.6,92,0.61
BRANDON_DUBINSKY,20092010,0.21,0.55,197.25,65,0.52,0,0.5,0,0,0
DAVID_BACKES,20102011,0.18,0.54,197.11,280,0.56,0,0.5,0,0,0
JOE_THORNTON,20062007,0.2,0.55,196.9,537,0.64,0.2,0.55,31.12,36,0.56
MAX_PACIORETTY,20112012,0.19,0.55,196.73,299,0.57,0,0.5,0,0,0
PHIL_KESSEL,20092010,0.19,0.55,195.93,443,0.61,0,0.5,0,0,0
RAY_WHITNEY,20072008,0.22,0.55,195.86,451,0.63,0,0.5,0,0,0
JUSTIN_WILLIAMS,20122013,0.35,0.59,195.73,343,0.65,0.32,0.58,74.62,-8,0.49
ANZE_KOPITAR,20072008,0.16,0.54,195.51,212,0.54,0,0.5,0,0,0
SCOTT_GOMEZ,20062007,0.21,0.55,195.34,591,0.66,0.21,0.55,30.45,97,0.67
ALEX_FROLOV,20062007,0.17,0.54,194.29,321,0.57,0,0.5,0,0,0
JEFF_CARTER,20072008,0.18,0.54,194.23,45,0.51,0.18,0.54,45.16,6,0.51
ANZE_KOPITAR,20092010,0.15,0.54,194.18,402,0.58,0.15,0.54,13.66,18,0.55
MATT_DUCHENE,20132014,0.23,0.56,192.78,182,0.55,0.23,0.56,5.95,-5,0.45
JOE_PAVELSKI,20082009,0.18,0.55,192.7,324,0.58,0.18,0.55,16.35,37,0.6
