player,season,beta,prob,ppm,pm,fp,beta.po,prob.po,ppm.po,pm.po,fp.po,beta.avg,prob.avg,ppm.avg,pm.avg,fp.avg
PAUL_GAUSTAD,20072008,0.07,0.52,79.71,80,0.52,0,0.5,0,0,0,0.07,0.52,81.47,80,0.52
DREW_STAFFORD,20092010,0.09,0.52,79.68,221,0.56,0.09,0.52,3.91,-2,0.49,0.08,0.52,83.15,219,0.56
LUBOMIR_VISNOVSKY,20112012,0.06,0.52,79.46,394,0.58,0,0.5,0,0,0,0.06,0.52,80.58,394,0.58
CAM_ATKINSON,20112012,0.2,0.55,79.46,89,0.56,0,0.5,0,0,0,0.2,0.55,77.73,89,0.56
BRAYDEN_SCHENN,20122013,0.12,0.53,79.44,108,0.54,0,0.5,0,0,0,0.12,0.53,81.92,108,0.54
CORY_STILLMAN,20092010,0.08,0.52,79.42,36,0.51,0,0.5,0,0,0,0.08,0.52,77.95,36,0.51
BRAD_ISBISTER,20072008,0.17,0.54,79.37,-45,0.48,0,0.5,0,0,0,0.17,0.54,81.46,-45,0.48
MAXIME_TALBOT,20112012,0.07,0.52,79.35,-326,0.43,0.07,0.52,10.53,-121,0.31,0.07,0.52,93.41,-447,0.42
PAVOL_DEMITRA,20022003,0.13,0.53,79.31,311,0.63,0.13,0.53,6.92,52,0.74,0.13,0.53,88.64,363,0.63
DOMINIC_MOORE,20102011,0.07,0.52,79.19,-9,0.5,0.07,0.52,20.83,-93,0.42,0.07,0.52,99.75,-102,0.48
JOCHEN_HECHT,20122013,0.14,0.54,79.19,-207,0.41,0,0.5,0,0,0,0.14,0.54,79.4,-207,0.41
RYAN_MALONE,20092010,0.06,0.52,79.12,151,0.53,0,0.5,0,0,0,0.07,0.52,82.26,151,0.53
MICHAEL_GRABNER,20122013,0.13,0.53,79.04,-92,0.46,0.13,0.53,9.96,-27,0.41,0.13,0.53,88.61,-119,0.46
B.J._CROMBEEN,20092010,0.09,0.52,79.02,-382,0.39,0,0.5,0,0,0,0.09,0.52,80.52,-382,0.39
ALES_HEMSKY,20032004,0.18,0.55,78.98,123,0.57,0,0.5,0,0,0,0.18,0.55,78.37,123,0.57
ERIC_FEHR,20112012,0.27,0.57,78.88,20,0.52,0,0.5,0,0,0,0.27,0.57,79.73,20,0.52
SAKU_KOIVU,20122013,0.11,0.53,78.86,-6,0.5,0.11,0.53,13.81,-22,0.46,0.11,0.53,93.65,-28,0.49
BLAKE_COMEAU,20122013,0.17,0.54,78.86,-80,0.46,0,0.5,0,0,0,0.17,0.54,78.13,-80,0.46
JOFFREY_LUPUL,20112012,0.06,0.52,78.84,274,0.55,0,0.5,0,0,0,0.06,0.52,80.46,274,0.55
MARCUS_JOHANSSON,20132014,0.09,0.52,78.8,133,0.54,0,0.5,0,0,0,0.1,0.53,84.8,133,0.54
KRISTIAN_HUSELIUS,20032004,0.16,0.54,78.77,57,0.53,0,0.5,0,0,0,0.16,0.54,78.39,57,0.53
MARCUS_NILSON,20022003,0.16,0.54,78.67,85,0.54,0,0.5,0,0,0,0.16,0.54,80.74,85,0.54
FREDRIK_MODIN,20082009,0.11,0.53,78.62,168,0.56,0.11,0.53,5.13,10,0.55,0.11,0.53,86.43,178,0.56
MANNY_FERNANDEZ,20052006,0.03,0.51,78.45,-68,0.49,0,0.5,0,0,0,0.02,0.51,67.25,-68,0.49
RADIM_VRBATA,20122013,0.13,0.53,78.33,176,0.57,0,0.5,0,0,0,0.13,0.53,78.25,176,0.57
MATS_ZUCCARELLO,20122013,0.33,0.58,78.07,110,0.61,0.33,0.58,64.03,31,0.54,0.3,0.57,132.1,141,0.58
BRANDON_PRUST,20102011,0.08,0.52,78.05,-260,0.44,0.08,0.52,5.67,-4,0.49,0.08,0.52,86.07,-264,0.44
BRIAN_WILLSIE,20072008,0.16,0.54,78.04,-9,0.5,0,0.5,0,0,0,0.16,0.54,78.85,-9,0.5
MIKE_FISHER,20072008,0.05,0.51,77.89,116,0.52,0,0.5,0,0,0,0.07,0.52,97.96,116,0.52
RENE_BOURQUE,20112012,0.07,0.52,77.75,-123,0.47,0,0.5,0,0,0,0.07,0.52,79.72,-123,0.47
STEVE_BERNIER,20072008,0.09,0.52,77.69,259,0.58,0,0.5,0,0,0,0.09,0.52,74.6,259,0.58
BRAD_BOYES,20122013,0.09,0.52,77.69,301,0.59,0.09,0.52,10.51,54,0.62,0.1,0.52,90.8,355,0.59
SHAWN_MCEACHERN,20032004,0.11,0.53,77.62,5,0.5,0,0.5,0,0,0,0.11,0.53,78.25,5,0.5
PETR_SYKORA,20022003,0.13,0.53,77.56,226,0.59,0.13,0.53,20.87,35,0.55,0.12,0.53,96.32,261,0.58
JIRI_TLUSTY,20102011,0.15,0.54,77.54,-17,0.49,0,0.5,0,0,0,0.15,0.54,78.39,-17,0.49
NIKITA_KUCHEROV,20132014,0.15,0.54,77.52,114,0.56,0.15,0.54,2.8,3,0.54,0.17,0.54,89.31,117,0.56
LUC_ROBITAILLE,20022003,0.2,0.55,77.45,200,0.63,0.2,0.55,4.68,22,0.73,0.2,0.55,83.32,222,0.63
RYAN_SHANNON,20072008,0.26,0.56,77.34,148,0.62,0,0.5,0,0,0,0.27,0.57,80.07,148,0.62
ADAM_HALL,20082009,0.11,0.53,77.33,-330,0.38,0,0.5,0,0,0,0.11,0.53,75.55,-330,0.38
SCOTT_HARTNELL,20022003,0.15,0.54,77.29,130,0.56,0,0.5,0,0,0,0.15,0.54,77.45,130,0.56
