player,season,beta,prob,ppm,pm,fp,beta.po,prob.po,ppm.po,pm.po,fp.po
VIKTOR_STALBERG,20112012,0.28,0.57,168.36,167,0.57,0.28,0.57,14.7,36,0.67
HENRIK_ZETTERBERG,20102011,0.19,0.56,168.04,249,0.57,0.26,0.56,21.43,34,0.6
MARKUS_NASLUND,20052006,0.26,0.5,167.85,262,0.6,0,0.5,0,0,0
JUSSI_JOKINEN,20132014,0.37,0.59,166.87,202,0.61,0.37,0.59,34.89,55,0.65
MASON_RAYMOND,20102011,0.3,0.57,166.77,156,0.57,0.3,0.57,58.65,6,0.51
MATT_DUCHENE,20132014,0.26,0.57,166.39,166,0.57,0.26,0.57,4.2,0,0.5
BRENDEN_MORROW,20092010,0.23,0.5,166.19,186,0.56,0,0.5,0,0,0
JAROMIR_JAGR,20052006,0.2,0.55,165.81,493,0.65,0.2,0.55,3.34,15,0.73
JOCHEN_HECHT,20102011,0.27,0.57,165.77,109,0.54,0.27,0.57,2.68,4,0.6
TRENT_HUNTER,20032004,0.33,0.58,165.7,189,0.59,0.33,0.58,6.13,10,0.63
TEDDY_PURCELL,20132014,0.32,0.58,165.66,228,0.61,0.32,0.58,9.97,0,0.5
MIKKO_KOIVU,20092010,0.21,0.5,165.32,135,0.54,0,0.5,0,0,0
ROBERT_LANG,20052006,0.28,0.57,164.77,383,0.66,0.28,0.57,16.87,47,0.69
ALES_HEMSKY,20082009,0.24,0.5,164.21,247,0.59,0,0.5,0,0,0
JIRI_HUDLER,20082009,0.27,0.57,164.05,407,0.67,0.27,0.57,43.64,118,0.68
JAKUB_VORACEK,20102011,0.23,0.5,163.67,286,0.6,0,0.5,0,0,0
HENRIK_ZETTERBERG,20082009,0.19,0.55,163.5,399,0.62,0.19,0.55,52.54,77,0.57
PAVEL_DATSYUK,20122013,0.37,0.59,163.28,182,0.6,0.37,0.59,52.84,42,0.57
MARCO_STURM,20072008,0.23,0.56,163.09,127,0.55,0.23,0.56,15.88,21,0.58
RAY_WHITNEY,20112012,0.21,0.55,162.97,291,0.6,0.21,0.55,32.21,5,0.51
RYAN_SHANNON,20102011,0.33,0.5,162.51,93,0.55,0,0.5,0,0,0
DANIEL_SEDIN,20022003,0.42,0.6,162.38,193,0.62,0.42,0.6,27.85,42,0.65
DANIEL_ALFREDSSON,20092010,0.24,0.56,162.36,81,0.53,0.24,0.56,15.52,-12,0.45
MIKHAIL_GRABOVSKI,20082009,0.26,0.5,162.19,200,0.58,0,0.5,0,0,0
JIRI_HUDLER,20072008,0.32,0.61,162.05,374,0.68,0.43,0.61,56.12,133,0.75
JEFF_CARTER,20052006,0.35,0.59,161.92,273,0.65,0.35,0.59,10.98,-5,0.46
JAMIE_LANGENBRUNNER,20082009,0.2,0.55,161.79,360,0.61,0.2,0.55,7.79,16,0.6
ANDREW_LADD,20112012,0.2,0.5,161.68,201,0.56,0,0.5,0,0,0
ALEX_STEEN,20082009,0.26,0.56,161.3,1,0.5,0.26,0.56,9.82,15,0.6
SEAN_BERGENHEIM,20082009,0.36,0.5,161.24,-40,0.48,0,0.5,0,0,0
MARTIN_GELINAS,20062007,0.31,0.5,161.16,277,0.63,0,0.5,0,0,0
P.A._PARENTEAU,20102011,0.21,0.5,160.86,246,0.58,0,0.5,0,0,0
PIERRE-MARC_BOUCHARD,20072008,0.25,0.56,160.29,225,0.59,0.25,0.56,13.61,23,0.6
MARIAN_HOSSA,20112012,0.2,0.55,160.26,136,0.54,0.2,0.55,5.58,20,0.68
MICHAEL_FROLIK,20102011,0.25,0.56,159.62,184,0.57,0.25,0.56,14.79,-15,0.44
ROSTISLAV_OLESZ,20092010,0.27,0.5,159.61,-4,0.5,0,0.5,0,0,0
JAKUB_VORACEK,20092010,0.25,0.5,159.46,163,0.56,0,0.5,0,0,0
CHRIS_KUNITZ,20112012,0.19,0.55,159.2,526,0.66,0.19,0.55,11.26,50,0.71
BRIAN_BOYLE,20102011,0.25,0.56,159.07,-52,0.48,0.25,0.56,12.21,13,0.57
BRIAN_GIONTA,20102011,0.18,0.55,158.95,244,0.57,0.18,0.55,16.77,7,0.52
OWEN_NOLAN,20022003,0.3,0.57,158.57,92,0.54,0.3,0.57,22.4,-6,0.48
DUSTIN_BROWN,20052006,0.33,0.5,158.43,179,0.59,0,0.5,0,0,0
ALEXEI_PONIKAROVSKY,20112012,0.28,0.57,158.14,128,0.56,0.28,0.57,37.53,15,0.53
KYLE_OKPOSO,20092010,0.19,0.5,158,186,0.56,0,0.5,0,0,0
BRYAN_LITTLE,20092010,0.25,0.5,157.98,163,0.56,0,0.5,0,0,0
PAVEL_DATSYUK,20102011,0.28,0.6,157.76,209,0.59,0.4,0.6,47.85,70,0.64
ALEXANDER_SEMIN,20112012,0.24,0.56,157.61,175,0.57,0.24,0.56,29.19,34,0.57
JAROME_IGINLA,20072008,0.18,0.54,156.89,382,0.61,0.18,0.54,12.88,14,0.55
MARIAN_HOSSA,20082009,0.23,0.56,156.89,393,0.64,0.23,0.56,52.56,112,0.62
DAVID_BOOTH,20102011,0.18,0.5,156.73,160,0.55,0,0.5,0,0,0
MARTIN_ERAT,20072008,0.22,0.55,156.39,186,0.56,0.22,0.55,14.38,-15,0.44
SHAWN_HORCOFF,20092010,0.22,0.5,156.34,-114,0.46,0,0.5,0,0,0
TYLER_ARNASON,20072008,0.32,0.58,156.33,213,0.61,0.32,0.58,22.92,29,0.6
