NAME|X0203US|X0304US|X0506US|X0607US|X0708US|X0809US|X0910US|X1011US|X1112US|TOTAL
Dustin Brown|0|0|0.942|1.175|1.175|2.6|2.45|3.5|3.5|15.342
Chris Chelios|5.919506|5.936286|0.85|0.85|0.85|0.75|0|0|0|15.155792
Patrick Kane|0|0|0|0|0.875|0.875|0.875|6.5|6|15.125
James Wisniewski|0|0|0|0.532|0.65|0.9|2.75|3.25|7|15.082
Jonathan Toews|0|0|0|0|0.85|0.85|0.85|6.5|6|15.05
Gary Roberts|2.5|4.25|2.25|2.25|2.5|1.25|0|0|0|15
Jordan Leopold|1|0.9|1.05|1.25|1.5|1.5|1.75|3|3|14.95
Teppo Numminen|4.75|4.5|2|2.6|0|1.1|0|0|0|14.95
Darius Kasparaitis|4.1|4.2|3.344|3.268|0|0|0|0|0|14.912
Brent Sopel|0.55|0.875|2.4|2.4|1.36|2.5|2.5|2|0|14.585
Bret Hedican|3.2|3.2|2.432|2.432|2.432|0.8705|0|0|0|14.5665
Nicklas Backstrom|0|0|0|0|0.85|0.85|0.85|6|6|14.55
Radek Bonk|3.2|3.5|2.394|2.394|1.35|1.6|0|0|0|14.438
Andrew Brunette|1.05|1.1|0.8|0.8|1.6|2.5|2.5|2|2|14.35
Rob Niedermayer|2.1|2.1|2|2|2|2|1|1.15|0|14.35
Scott Walker|1.85|1.95|1.52|1.52|2.5|2.5|2.5|0|0|14.34
Maxim Afinogenov|1.1|1.3|1.086|3|3.5|3.5|0.8|0|0|14.286
Sean O'Donnell|2.7|2.7|1.748|1.52|1.25|1.25|1.25|1|0.85|14.268
Vladimir Malakhov|3.5|3.5|3.6|3.6|0|0|0|0|0|14.2
Radek Dvorak|1.575|2|1.596|1|1.5|1.6|1.6|1.8|1.5|14.171
Paul Mara|1|1|1.75|3|3|1.95|1.675|0.75|0|14.125
Philippe Boucher|2.2|2.6|1.824|2.5|2.5|2.5|0|0|0|14.124
Jordan Staal|0|0|0|0.85|0.85|0.85|3.5|3.5|4.5|14.05
Brooks Laich|0|0|0|0.6061|0.725|1.7|2.1|2.4|6.5|14.0311
Daniel Cleary|0.85|0.4|0.45|0.65|0.675|2.5|2.5|3|3|14.025
Tim Gleason|0|0|0.646|1.175|1.175|2|2.5|3|3.5|13.996
